CUSTEIO,DESCRICAO_UG
1952654,AGÊNCIA DE DEFESA E INSPEÇÃO AGROPECUÁRIA DE ALAGOAS
1017385,AGÊNCIA DE FOMENTO DE ALAGOAS
49843071,AGÊNCIA DE MODERNIZAÇÃO DA GESTÃO DE PROCESSOS
12387159,AGÊNCIA REGULADORA DOS SERVIÇOS PÚBLICOS DO ESTADO DE ALAGOA
17986507,ALAGOAS PREVIDÊNCIA
14442600,ASSEMBLÉIA LEGISLATIVA ESTADUAL
6369768,COMPANHIA DE ADMINISTRAÇÃO DE RECURSOS HUMANOS E PATRIMONIAI
629717,CONTROLADORIA GERAL DO ESTADO
280624,COORDENADORIA ESTADUAL DE DEFESA CIVIL - CEDEC
7771272,CORPO DE BOMBEIROS MILITAR DO ESTADO DE ALAGOAS
7199749,DEFENSORIA PÚBLICA GERAL DO ESTADO DE ALAGOAS
4859912,DEPARTAMENTO DE ESTRADAS DE RODAGEM
45229468,DEPARTAMENTO ESTADUAL DE TRÂNSITO DE ALAGOAS
1293507,DIRETORIA DE TEATROS DO ESTADO DE ALAGOAS
162669639,ENCARGOS GERAIS DO ESTADO - RECURSOS SOB SUPERVISÃO DA SEFAZ
1690,ESCOLA DE CONTAS PÚBLICAS CONSELHEIRO JOSÉ ALFREDO DE MENDON
17043319,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE ALAGOAS
8505560,FUNDO DE DESENVOLVIMENTO DE RECURSOS HUMANOS
2765404,FUNDO DE MODERNIZAÇÃO DA PROCURADORIA GERAL DO ESTADO
4840095,FUNDO DE MODERNIZAÇÃO E DESENVOLVIMENTO FAZENDÁRIO
0,FUNDO DE PREVIDÊNCIA DO ESTADO DE ALAGOAS
5861680,FUNDO DE RECURSOS HÍDRICOS
1575353,FUNDO DE REGISTRO E DO COMÉRCIO
3867150,FUNDO DESENVOLVIMENTO DE AÇOES CULTURAIS
100000,FUNDO DO TURISMO
0,FUNDO DOS MILITARES DE ALAGOAS
318401,FUNDO ESPECIAL DA ESCOLA SUPERIOR DA MAGISTRATURA DO ESTADO 
153576,FUNDO ESPECIAL DE DESENVOLVIMENTO DAS AÇÕES DO TRIBUNAL DE C
1041795,FUNDO ESPECIAL DE DESENVOLVIMENTO DOS ESPORTES
39944001,FUNDO ESPECIAL DE MODERNIZAÇÃO DO PODER JUDICIÁRIO
2081170,FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DE ALAGOAS
20089362,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL
12057,FUNDO ESTADUAL DE DEFESA CIVIL
3230520,FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR
18582,FUNDO ESTADUAL DE DEFESA DOS DIREITOS DAS MULHERES-FEDIM
1363763180,FUNDO ESTADUAL DE SAÚDE
0,FUNDO FINANCEIRO DO ESTADO DE ALAGOAS
477,FUNDO PARA INFÂNCIA E ADOLESCÊNCIA
449490,FUNDO PENITENCIÁRIO DO ESTADO DE ALAGOAS
8474868,GABINETE CIVIL
266762,GABINETE DO VICE-GOVERNADOR
27080815,INSTITUTO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES DO ESTADO DE
5535936,INSTITUTO DE DESENVOLVIMENTO RURAL E ABASTECIMENTO DE ALAGOA
1826058,INSTITUTO DE INOVAÇÃO PARA O DESENVOLVIMENTO RURAL SUSTENTÁV
3072899,INSTITUTO DE METROLOGIA E QUALIDADE
1970127,INSTITUTO DE PROTEÇÃO E DEFESA DO CONSUMIDOR DE ALAGOAS -AL
38705064,INSTITUTO DE TECNOLOGIA EM INFORMÁTICA E INFORMAÇÃO
4192713,INSTITUTO DE TERRAS E REFORMA AGRÁRIA DE ALAGOAS
7008607,INSTITUTO DO MEIO AMBIENTE DO ESTADO DE ALAGOAS
828561,INSTITUTO ZUMBI DOS PALMARES
0,LABORATÓRIO INDUSTRIAL FARMACÊUTICO
17788885,MINISTÉRIO PÚBLICO
18251285,PERÍCIA OFICIAL DO ESTADO DE ALAGOAS - PO/AL
24083011,POLÍCIA CIVIL DO ESTADO DE ALAGOAS
42413011,POLÍCIA MILITAR DO ESTADO DE ALAGOAS
911333,PROCURADORIA GERAL DO ESTADO
2099485,SECRETARIA DE ESTADO  DO TRABALHO E EMPREGO
80516679,SECRETARIA DE ESTADO DA  ASSISTÊNCIA E DESENVOLVIMENTO SOCIA
65808180,SECRETARIA DE ESTADO DA AGRICULTURA. PECUÁRIA. PESCA E AQUIC
1726559,SECRETARIA DE ESTADO DA CIÊNCIA. DA TECNOLOGIA E DA INOVAÇÃO
55175973,SECRETARIA DE ESTADO DA COMUNICAÇÃO
7111206,SECRETARIA DE ESTADO DA CULTURA
191428760,SECRETARIA DE ESTADO DA EDUCAÇÃO
62200792,SECRETARIA DE ESTADO DA FAZENDA
2086433,SECRETARIA DE ESTADO DA INFRAESTRUTURA
3799027,SECRETARIA DE ESTADO DA MULHER E DOS DIREITOS HUMANOS
1541324,SECRETARIA DE ESTADO DA SAÚDE
66622528,SECRETARIA DE ESTADO DA SEGURANÇA PÚBLICA
63309976,SECRETARIA DE ESTADO DE PREVENÇÃO À VIOLÊNCIA
139724987,SECRETARIA DE ESTADO DE RESSOCIALIZAÇÃO E INCLUSÃO SOCIAL
1613168,SECRETARIA DE ESTADO DE TRANSPORTE E DESENVOLVIMENTO URBANO
22706861,SECRETARIA DE ESTADO DO DESENVOLVIMENTO ECONÔMICO E TURISMO
22058698,SECRETARIA DE ESTADO DO ESPORTE. LAZER E JUVENTUDE
462269,SECRETARIA DE ESTADO DO MEIO AMBIENTE E DOS RECURSOS HIDRICO
9327433,SECRETARIA DE ESTADO DO PLANEJAMENTO. GESTÃO E PATRIMÔNIO
121172,SERVIÇOS DE ENGENHARIA DE ALAGOAS S.A.
12097489,TRIBUNAL DE CONTAS
60661733,TRIBUNAL DE JUSTIÇA
9049903,UNIVERSIDADE ESTADUAL DE ALAGOAS
79872072,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS
